ResponseTime;RunID;Epoch;TransactionName
0,151;RID-0;3397094;TR_03
0,125;RID-0;3396528;TR_03
0,157;RID-0;3396452;TR_03
0,114;RID-0;3396033;TR_03
0,102;RID-0;3395989;TR_03
0,163;RID-0;3395456;TR_03
0,184;RID-0;3394991;TR_03
0,133;RID-0;3394853;TR_03
0,167;RID-0;3394702;TR_03
0,130;RID-0;3393865;TR_03
0,091;RID-0;3393824;TR_03
0,125;RID-0;3393798;TR_03
0,101;RID-0;3393333;TR_03
0,137;RID-0;3393266;TR_03
0,111;RID-0;3393235;TR_03
0,103;RID-0;3393084;TR_03
0,101;RID-0;3392934;TR_03
0,118;RID-0;3392647;TR_03
0,119;RID-0;3392473;TR_03
0,101;RID-0;3391976;TR_03
0,160;RID-0;3391946;TR_03
0,555;RID-0;3391412;TR_03
0,140;RID-0;3390862;TR_03
0,098;RID-0;3389330;TR_03
0,186;RID-0;3389280;TR_03
0,093;RID-0;3389138;TR_03
0,103;RID-0;3389071;TR_03
0,128;RID-0;3388575;TR_03
0,150;RID-0;3386316;TR_03
0,542;RID-0;3385742;TR_03
0,129;RID-0;3385303;TR_03
0,110;RID-0;3385066;TR_03
0,099;RID-0;3384826;TR_03
0,128;RID-0;3384551;TR_03
0,096;RID-0;3384536;TR_03
0,099;RID-0;3384467;TR_03
0,124;RID-0;3383712;TR_03
0,132;RID-0;3383374;TR_03
0,142;RID-0;3383022;TR_03
0,125;RID-0;3382881;TR_03
0,094;RID-0;3382704;TR_03
0,109;RID-0;3382646;TR_03
0,199;RID-0;3381628;TR_03
0,108;RID-0;3381004;TR_03
0,177;RID-0;3380596;TR_03
0,108;RID-0;3379543;TR_03
0,161;RID-0;3378268;TR_03
0,093;RID-0;3376735;TR_03
0,101;RID-0;3376704;TR_03
0,179;RID-0;3376486;TR_03
0,100;RID-0;3376306;TR_03
0,106;RID-0;3375645;TR_03
0,146;RID-0;3375481;TR_03
0,104;RID-0;3375165;TR_03
0,829;RID-0;3374967;TR_03
0,130;RID-0;3374948;TR_03
0,126;RID-0;3374524;TR_03
0,136;RID-0;3373710;TR_03
0,163;RID-0;3373560;TR_03
0,113;RID-0;3373282;TR_03
0,565;RID-0;3372867;TR_03
0,115;RID-0;3372520;TR_03
0,091;RID-0;3372499;TR_03
0,096;RID-0;3372327;TR_03
0,098;RID-0;3372241;TR_03
0,152;RID-0;3372148;TR_03
0,127;RID-0;3372136;TR_03
0,165;RID-0;3370984;TR_03
